用户ID,年龄,性别,历史订单数量,购买频率,平均消费金额,优惠券使用,配送距离,是否购买,购买金额,购买等级
76,43,女,20,5,52.71,1,2,0,0,未购买
77,36,女,23,5,68.3,1,3.79,0,0,未购买
78,32,男,18,11,70.19,0,6.53,0,0,未购买
79,36,男,18,5,59.48,0,4.65,0,0,未购买
80,18,女,16,15,29.89,0,5.43,0,0,未购买
81,33,女,19,5,37.48,0,2.7,0,0,未购买
82,39,男,19,9,60.91,0,1.5,0,0,未购买
83,50,女,17,6,104.21,1,2.33,1,620.8,高
84,30,女,9,3,51.68,0,4.38,0,0,未购买
85,27,男,17,7,72.8,1,3.07,0,0,未购买
86,30,男,22,8,44.11,0,2.27,1,390.59,中
87,44,男,30,6,50.87,1,4.97,0,0,未购买
88,38,男,16,5,67.17,0,1.17,0,0,未购买
89,30,男,10,3,30.52,0,5.09,0,0,未购买
90,40,女,11,4,54.62,0,4.3,0,0,未购买
91,36,女,20,12,50.62,0,6.68,1,605.29,高
92,45,男,10,8,46.97,1,2.61,0,0,未购买
93,28,男,12,6,46.85,0,2.41,0,0,未购买
94,32,女,21,10,27.3,0,2.66,1,323.8,中
95,31,女,17,9,30.47,1,0.86,0,0,未购买
96,20,男,15,6,67.19,0,2.46,0,0,未购买
97,38,男,12,7,68.25,0,4.4,0,0,未购买
98,38,女,34,7,66.21,1,1.69,0,0,未购买
99,35,男,21,7,48.54,1,2.1,0,0,未购买
100,33,男,18,5,35.5,0,4.57,0,0,未购买
101,21,女,18,10,52.52,0,2.15,1,532.5,高
102,31,男,21,5,82.19,1,2.62,1,340.21,中
103,32,女,17,8,54.77,1,3.32,0,0,未购买
104,27,女,18,8,52.21,1,1.77,0,0,未购买
105,33,女,16,5,58.34,0,1.3,0,0,未购买
106,39,男,14,6,49.47,1,4.19,1,278.48,低
107,54,男,13,6,56.1,1,2.7,0,0,未购买
108,37,女,13,14,63.71,0,4.63,0,0,未购买
109,38,女,16,3,38.37,1,1.45,1,140.87,低
110,34,男,13,5,28.04,1,3.86,0,0,未购买
111,18,男,16,9,62.79,1,3.57,0,0,未购买
112,35,男,23,9,52.15,0,4.94,0,0,未购买
113,36,女,17,7,53.33,0,3.3,1,406.13,中
114,60,女,22,7,57.05,0,3.16,0,0,未购买
115,33,女,15,4,38.33,0,7.03,0,0,未购买
116,38,女,20,5,74.53,0,1.6,0,0,未购买
117,35,女,18,3,15,1,5,0,0,未购买
118,23,女,18,5,64.35,0,3.62,1,276.68,低
119,46,女,19,3,53.08,0,10,0,0,未购买
120,43,女,20,2,51.53,1,1.57,0,0,未购买
121,43,男,17,3,49.85,0,3.56,1,143.84,低
122,26,女,18,7,63.37,0,2.8,0,0,未购买
123,49,男,21,9,53.34,1,3.09,1,468.25,高
124,21,女,9,7,49.44,0,3.06,0,0,未购买
125,41,女,16,9,17.47,0,1.98,0,0,未购买
126,57,男,9,7,60.22,0,4.41,0,0,未购买
127,25,男,21,11,43.98,1,2.22,1,420.54,中
128,29,男,23,4,38.51,0,2.76,0,0,未购买
129,36,男,11,7,45.19,0,1.48,0,0,未购买
130,,女,24,14,55.55,1,2.23,1,860.67,高
131,19,男,21,7,66.58,0,2.14,1,460.21,高
132,36,男,26,6,38.42,0,3.06,0,0,未购买
133,24,女,17,5,56.72,1,1.52,0,0,未购买
134,40,男,23,7,56.81,0,2.69,1,491.04,高
135,26,男,7,3,53,0,3.06,0,0,未购买
136,50,女,15,5,18.81,0,2.04,0,0,未购买
137,27,男,14,11,47.15,1,3.15,0,0,未购买
138,32,男,19,3,41.55,0,3.36,0,0,未购买
139,43,女,19,8,43.48,1,2.83,0,0,未购买
140,23,男,27,9,56.05,0,2.84,0,0,未购买
141,37,男,8,9,49.94,1,2.22,1,486.17,高
142,,女,25,7,27.49,0,1.72,0,0,未购买
143,19,男,21,9,52.21,0,2.42,0,0,未购买
144,37,女,22,8,38.35,1,3.29,0,0,未购买
145,38,男,14,9,47.92,1,2.63,0,0,未购买
146,,男,12,5,43.72,1,0.86,0,0,未购买
147,23,女,17,4,48.94,0,2.77,0,0,未购买
148,22,男,23,5,52.58,1,1.37,0,0,未购买
149,40,男,25,7,48.47,1,6.82,0,0,未购买
150,38,男,11,9,72.24,0,5.37,0,0,未购买
151,38,女,21,7,52.74,0,1.79,0,0,未购买
152,38,女,18,7,55.27,1,1.43,1,405.7,中
153,28,男,18,10,62.28,0,4.67,0,0,未购买
154,37,男,22,12,56.71,0,3.48,0,0,未购买
155,38,女,13,4,58.89,0,2.58,1,237.17,低
156,28,男,10,11,27.57,0,1.52,1,352.81,中
157,54,女,13,11,52.04,0,2.17,0,0,未购买
158,40,女,16,8,43.92,0,1.08,0,0,未购买
159,23,男,23,9,27.98,1,1.71,0,0,未购买
160,42,男,17,8,51.31,0,1.42,0,0,未购买
161,25,女,14,7,35.07,0,7.15,0,0,未购买
162,43,男,18,7,63.19,0,4.8,1,430.39,中
163,47,男,13,7,59.56,1,1.97,0,0,未购买
164,27,女,26,6,63.07,0,1.23,0,0,未购买
165,45,男,15,6,68.45,0,2.62,0,0,未购买
166,39,男,14,8,29.14,1,1.75,1,254.18,低
167,43,男,30,10,42.61,0,,0,0,未购买
168,54,女,18,9,23.48,1,1.77,0,0,未购买
169,33,男,12,4,32.73,1,1.62,0,0,未购买
170,27,男,13,7,57.78,0,2.61,0,0,未购买
171,26,男,19,5,41.64,0,2.61,0,0,未购买
172,27,女,19,3,38.7,0,3.21,0,0,未购买
173,34,女,20,8,45.5,1,2.72,0,0,未购买
174,38,男,19,6,48.95,0,3.68,0,0,未购买
175,38,女,13,7,56.62,1,2.47,1,398.14,中
176,43,男,14,7,53.61,1,2.72,0,0,未购买
177,35,男,21,8,48.21,1,6.52,1,388.64,中
178,50,女,12,7,40.12,0,,0,0,未购买
179,32,男,20,7,53.39,1,3.63,0,0,未购买
180,62,男,22,12,50.45,0,2.97,1,661.61,高
181,41,女,15,8,41.8,0,3.38,1,326.31,中
182,26,女,15,7,44.57,1,2.33,0,0,未购买
183,,女,19,8,70.25,1,2.87,0,0,未购买
184,40,女,19,4,36.69,1,2.98,1,147.31,低
185,33,女,22,7,57.96,0,5.8,0,0,未购买
186,42,男,14,4,83.72,0,5.22,1,315.28,中
187,40,男,16,6,56.54,0,3.5,0,0,未购买
188,34,男,24,6,44,1,1.75,0,0,未购买
189,27,男,15,4,53.4,,2.45,0,0,未购买
190,20,男,15,1,60.8,1,1.35,0,0,未购买
191,31,女,19,4,40.45,0,1.45,0,0,未购买
192,44,男,16,9,32.32,0,1.61,0,0,未购买
193,37,男,18,11,66.21,1,3.27,1,811.59,高
194,23,男,19,13,82.37,0,3.5,0,0,未购买
195,37,女,18,6,48.82,1,2.57,1,265.98,低
196,39,女,18,7,31.92,1,2.52,0,0,未购买
197,26,女,21,6,48.86,0,4.24,0,0,未购买
198,37,男,19,5,38.05,0,2.19,0,0,未购买
199,36,女,29,8,65.67,1,4.89,1,415.71,中
200,24,女,13,12,48.65,1,3.33,0,0,未购买
201,39,女,14,8,60.47,1,4.03,0,0,未购买
202,41,女,18,5,42.04,0,4.04,0,0,未购买
203,46,女,22,5,61.07,0,7.76,0,0,未购买
204,46,男,17,5,64.11,1,6.15,0,0,未购买
205,21,男,26,9,34.25,0,3.24,1,326.76,中
206,26,女,18,3,62.32,1,2.14,0,0,未购买
207,40,女,18,7,38.01,0,1.99,0,0,未购买
208,40,男,22,8,65.13,1,2.31,0,0,未购买
209,40,男,11,3,51.63,0,4.29,0,0,未购买
210,65,男,22,4,60.34,1,1.6,0,0,未购买
211,41,男,22,5,48.82,1,4.1,1,281.65,低
212,46,女,19,5,46.02,0,3.24,0,0,未购买
213,45,女,18,4,47.08,0,3.1,0,0,未购买
214,42,女,17,7,27.46,1,3.12,1,178.57,低
215,32,男,13,2,64.99,0,5.86,0,0,未购买
216,43,女,19,6,43.04,0,5.04,1,250.05,低
217,27,女,20,8,44.25,1,2.73,0,0,未购买
218,33,女,18,6,49.36,0,2.88,1,294.83,中
219,30,男,19,3,43.35,0,2.01,0,0,未购买
220,36,女,17,9,54.05,0,3.69,1,518,高
221,58,女,19,14,68.78,0,2.61,1,1126.99,高
222,18,男,20,6,67.16,0,1.2,0,0,未购买
223,42,男,23,13,54.75,0,3.75,0,0,未购买
224,19,男,18,8,41.01,1,0.77,1,336.23,中
225,30,男,18,6,27.1,0,1.53,0,0,未购买
226,46,男,33,4,27.59,0,3.83,0,0,未购买
227,36,女,12,11,15,0,2.24,1,170.13,低
228,24,男,23,8,54.82,0,3.21,0,0,未购买
229,28,女,24,6,28.74,0,1.2,1,190.02,低
230,42,男,19,3,58.93,0,4.26,0,0,未购买
231,28,女,19,10,41.09,0,1.11,0,0,未购买
232,37,男,15,5,58.99,1,2.3,0,0,未购买
233,35,男,17,10,41.37,0,3.22,1,401.97,中
234,28,女,19,8,66.48,0,1.94,0,0,未购买
235,56,女,19,5,36.78,0,3.8,0,0,未购买
236,41,女,17,5,70.13,0,3.74,0,0,未购买
237,18,男,21,12,47.32,0,3.16,0,0,未购买
238,37,男,21,4,15,1,1.32,0,0,未购买
239,28,男,12,6,62.21,1,2.66,1,408.27,中
240,44,女,19,11,45.81,0,10,0,0,未购买
241,27,女,13,3,44.31,0,6.88,0,0,未购买
242,34,女,20,5,44.5,1,,1,211.82,低
243,40,男,16,6,61.61,0,2.42,0,0,未购买
244,44,女,14,10,58.52,0,3.06,0,0,未购买
245,23,男,23,8,34.88,0,3.27,0,0,未购买
246,32,女,17,7,33.86,0,1.09,0,0,未购买
247,30,女,26,7,63.85,1,2.52,1,408.93,中
248,28,女,26,3,58.51,0,3.27,0,0,未购买
249,53,女,16,8,53.69,0,1.66,1,426.77,中
250,39,男,16,6,68.57,0,1.26,0,0,未购买
251,22,男,16,6,59.13,0,2.03,1,375.34,中
252,44,女,15,8,54.8,0,3.14,0,0,未购买
253,56,男,18,6,40.33,0,2.38,0,0,未购买
254,45,男,12,8,70.12,0,2.1,0,0,未购买
255,20,女,20,4,56.18,0,5.19,0,0,未购买
256,30,男,16,7,41.73,0,1.88,0,0,未购买
257,48,男,14,13,34.06,1,2.77,0,0,未购买
258,28,男,23,7,48.07,0,,1,304.06,中
259,39,男,9,9,43.74,1,3.21,1,351.36,中
260,43,女,14,5,53.1,0,2.87,1,251.07,低
261,26,女,15,10,40.2,0,2.41,0,0,未购买
262,34,女,16,6,56.96,0,0.77,0,0,未购买
263,18,女,17,10,36.04,0,2.47,1,348.32,中
264,25,男,16,8,36.16,0,3.72,0,0,未购买
265,32,男,7,10,56.64,1,3.64,1,538.05,高
266,23,女,22,9,80.89,1,2.85,0,0,未购买
267,51,女,10,7,41.75,0,1.48,1,245.41,低
268,21,男,17,7,38.95,1,2.13,0,0,未购买
269,31,男,16,7,53.85,0,6.04,0,0,未购买
270,36,女,21,8,47.66,0,2.09,1,387.01,中
271,49,男,18,6,74.26,0,2.56,1,486.44,高
272,21,女,19,12,70.64,0,3.15,0,0,未购买
273,47,男,14,7,45.4,1,0.83,0,0,未购买
274,35,女,18,6,72.58,0,4.72,0,0,未购买
275,25,女,18,13,53.48,0,3.32,1,591.17,高
276,40,女,21,8,45.85,1,2.93,0,0,未购买
277,37,男,16,6,48.81,1,3.33,0,0,未购买
278,29,女,22,10,60.6,1,5.38,0,0,未购买
279,36,女,20,7,61.21,0,1.63,1,352.7,中
280,31,男,19,8,64.75,1,4.98,0,0,未购买
281,36,女,9,9,39.69,0,1.98,0,0,未购买
282,42,女,18,9,30.78,1,1.67,0,0,未购买
283,51,男,16,9,62.8,1,3.35,0,0,未购买
284,23,男,16,10,63.59,0,3.31,0,0,未购买
285,56,男,21,5,44.68,0,2.97,0,0,未购买
286,18,男,23,9,53.38,1,4.19,1,499.18,高
287,33,女,22,9,43.74,0,1.47,1,436.17,中
288,41,男,18,5,25.82,,2.98,0,0,未购买
289,38,男,25,11,58.82,0,1.69,0,0,未购买
290,29,男,16,7,48.01,0,1.14,0,0,未购买
291,33,女,9,9,57.41,0,1.82,0,0,未购买
292,30,男,21,2,35.32,0,1.28,0,0,未购买
293,29,女,24,10,53.39,0,3.84,0,0,未购买
294,43,女,24,5,66.06,0,3.56,1,298.82,中
295,39,女,32,11,55.31,1,4.11,0,0,未购买
296,28,男,18,9,39.97,0,4.84,1,295.1,中
297,44,女,19,6,20.31,0,3.95,1,139.71,低
298,38,女,16,7,46.67,0,4.42,0,0,未购买
299,43,女,16,9,78.36,0,3.34,0,0,未购买
300,41,男,18,4,65.16,1,0.88,1,240.19,低
301,27,男,16,6,34.55,0,3.19,0,0,未购买
302,29,男,17,11,60.99,0,3.73,1,608.07,高
303,42,男,19,6,35.52,0,1.49,0,0,未购买
304,41,女,20,8,64.93,0,3.72,1,491.85,高
305,,男,13,8,72.55,0,2.85,1,578.92,高
306,36,男,12,10,56.54,1,2.15,1,630.51,高
307,48,男,30,4,29.94,0,2.43,0,0,未购买
308,29,女,13,6,72.97,0,2.73,0,0,未购买
309,40,男,21,5,66.93,1,1.59,0,0,未购买
310,33,男,17,5,41.93,1,4.46,0,0,未购买
311,33,男,13,10,57.31,0,3.15,1,628.2,高
312,46,女,20,9,70.67,0,1.72,1,691.16,高
313,43,男,20,8,54.21,0,3.24,0,0,未购买
314,43,女,12,8,80,0,1.18,0,0,未购买
315,,女,27,11,32.92,1,,1,362.72,中
316,35,女,12,5,58.09,0,1.89,0,0,未购买
317,42,女,24,3,43.84,1,1.78,1,136.91,低
318,32,女,15,3,53.53,0,4.31,0,0,未购买
319,38,男,14,8,22.17,1,2.35,1,201.51,低
320,34,男,18,6,54.46,0,2.56,0,0,未购买
321,36,男,17,5,51.51,1,2.7,0,0,未购买
322,41,女,21,6,60.95,0,5.24,1,308.87,中
323,27,男,13,1,52.66,0,3.22,1,49.65,低
324,56,男,15,4,40.28,1,3.02,1,166.21,低
325,25,女,27,2,64.57,1,2.28,0,0,未购买
326,23,男,12,3,77.55,1,2.45,0,0,未购买
327,47,男,19,15,48.22,0,1.98,1,737.71,高
328,43,女,19,6,45.25,0,6.21,0,0,未购买
329,41,男,10,4,52.48,1,1.34,0,0,未购买
330,41,女,20,10,35.22,0,4.03,0,0,未购买
331,35,女,16,8,66.08,0,1.95,0,0,未购买
332,26,女,13,8,44.51,0,3.21,0,0,未购买
333,36,女,19,3,38.76,1,3.61,0,0,未购买
334,28,女,21,9,22.89,0,4.46,1,223.78,低
335,45,男,17,4,71.42,0,3.64,0,0,未购买
336,34,女,17,11,28.11,1,5.02,1,338.04,中
337,27,男,14,6,61.33,0,1.63,0,0,未购买
338,32,女,20,6,59.79,0,2.83,1,354.56,中
339,39,男,15,4,39.79,0,1.46,1,187.66,低
340,29,男,16,9,33.42,0,1.99,0,0,未购买
341,27,男,21,6,53.36,0,2.04,0,0,未购买
342,37,男,14,10,56.75,0,2.94,1,582.93,高
343,37,男,16,4,74.64,1,4.49,1,282.78,低
344,30,女,16,5,71.74,0,1.33,0,0,未购买
345,30,男,17,6,15,0,4.55,0,0,未购买
346,37,男,16,11,40.05,0,3.85,0,0,未购买
347,21,女,15,6,35.29,0,2.6,0,0,未购买
348,21,女,16,6,48.31,0,7.2,0,0,未购买
349,28,女,23,5,68.68,,3.28,0,0,未购买
350,33,女,16,8,84.88,1,1.77,0,0,未购买
351,38,男,22,12,39.79,1,3.01,0,0,未购买
352,50,女,12,4,69.1,0,3.7,0,0,未购买
353,44,男,18,5,73.49,1,1.7,0,0,未购买
354,33,女,20,5,31.82,0,1.67,1,147.73,低
355,35,女,21,13,29.08,0,1.66,1,307.97,中
356,25,男,15,7,38.65,1,2.35,0,0,未购买
357,35,男,22,4,66.61,1,1.83,1,240.4,低
358,32,男,20,4,52.71,0,,0,0,未购买
359,38,男,15,5,42.68,1,2.66,0,0,未购买
360,27,男,17,8,64.66,0,1.73,0,0,未购买
361,40,女,18,8,53.54,0,2.12,1,419.74,中
362,50,男,21,8,29.59,1,2.99,1,248.12,低
363,34,男,21,8,70.92,1,3.71,1,494.16,高
364,39,男,15,6,47.3,1,2.76,1,204.28,低
365,42,女,22,7,46.97,0,2.12,1,380.08,中
366,31,女,17,4,19.66,1,2.87,1,69.52,低
367,37,男,15,5,59.7,0,1.8,0,0,未购买
368,35,女,16,5,66.9,0,1.69,0,0,未购买
369,36,男,15,8,29.35,1,2.89,0,0,未购买
370,27,男,15,10,76.82,1,2.92,1,697.07,高
371,35,男,21,5,93.19,0,2.35,0,0,未购买
372,40,男,18,6,80.24,0,5.89,0,0,未购买
373,50,女,26,8,36.23,0,2.34,0,0,未购买
374,45,女,17,9,37.32,0,2.98,0,0,未购买
375,57,女,13,6,56.99,0,2.36,0,0,未购买
376,27,女,18,10,54.49,0,9,1,563.87,高
377,44,男,12,5,41.22,1,6.49,0,0,未购买
378,37,男,21,12,76.16,0,1.43,0,0,未购买
379,57,男,24,11,63.31,1,2.24,0,0,未购买
380,27,女,19,8,61.42,1,2.62,0,0,未购买
381,27,女,22,6,52.36,1,5.28,0,0,未购买
382,29,女,24,4,47.32,0,2.63,0,0,未购买
383,18,女,25,8,33.41,0,4.8,1,270.28,低
384,30,男,16,7,31.05,0,3.78,0,0,未购买
385,27,男,16,8,24.94,1,3.49,1,207.66,低
386,,男,13,9,35.5,0,4.21,0,0,未购买
387,38,女,21,12,41.7,0,2.05,0,0,未购买
388,54,男,12,13,37.97,1,2.16,1,454.68,高
389,45,男,21,9,49.34,0,3.31,0,0,未购买
390,29,女,24,6,47.22,0,2.15,0,0,未购买
391,26,女,23,11,67.77,1,3.99,1,697.12,高
392,40,女,12,9,47.93,0,3.72,0,0,未购买
393,22,女,15,9,51.93,1,2.32,0,0,未购买
394,53,男,19,5,34.96,,1.85,0,0,未购买
395,47,女,19,6,37.13,0,7.91,0,0,未购买
396,30,男,23,5,42.77,0,2.16,0,0,未购买
397,18,男,20,12,56.69,0,2.3,1,732.11,高
398,49,男,16,7,76.92,1,2.52,0,0,未购买
399,34,女,21,6,64.68,1,4.55,0,0,未购买
400,47,男,24,9,44.81,1,9.29,0,0,未购买
401,19,男,14,6,42.08,1,2.91,1,222.96,低
402,29,女,20,8,67.09,1,4.56,0,0,未购买
403,35,女,24,3,45.05,0,3.07,0,0,未购买
404,35,女,22,6,61.8,0,5.99,0,0,未购买
405,30,女,22,3,74.27,1,1.4,0,0,未购买
406,41,男,19,6,41.68,0,1.55,1,247.66,低
407,24,男,10,5,64.91,0,1.47,0,0,未购买
408,34,男,21,7,54.82,0,1.94,0,0,未购买
409,36,女,17,5,29.35,0,1.5,1,146.97,低
410,40,男,13,2,50.93,0,1.46,0,0,未购买
411,42,男,16,9,78.66,1,2.91,1,793.23,高
412,24,男,15,8,41.43,0,8.46,1,331.41,中
413,20,男,14,3,56.45,1,1.84,1,172.79,低
414,48,女,25,8,57.4,0,2.01,1,393.85,中
415,38,女,13,7,55.37,0,1.45,0,0,未购买
416,28,男,18,9,56.97,0,3.44,0,0,未购买
417,51,男,15,5,48.96,0,5.49,0,0,未购买
418,36,女,17,6,37.05,0,2.28,0,0,未购买
419,47,男,21,8,47.65,0,3,0,0,未购买
420,36,男,12,12,61.62,0,1.81,1,844.07,高
421,56,男,17,11,38.72,0,3.59,1,415.73,中
422,53,男,19,7,46.96,1,1.22,0,0,未购买
423,33,男,18,4,16.44,0,1.42,0,0,未购买
424,45,男,22,10,15.7,0,3.14,0,0,未购买
425,41,男,21,3,25.31,1,1.76,1,74.67,低
426,49,男,10,8,44.17,1,1.53,0,0,未购买
427,25,男,10,4,52.42,1,5.52,0,0,未购买
428,42,女,19,7,49.62,0,8.59,0,0,未购买
429,46,女,15,3,38.65,1,1.45,0,0,未购买
430,18,男,16,3,51.56,0,2.81,1,156.68,低
431,23,男,20,7,47.15,1,2.85,0,0,未购买
432,18,男,17,6,52.13,1,4.22,0,0,未购买
433,32,女,18,8,58.64,0,3.81,0,0,未购买
434,42,男,20,7,56.68,0,3.94,0,0,未购买
435,50,男,7,7,52.32,0,4.29,0,0,未购买
436,36,男,23,11,19.58,0,1.72,1,221.27,低
437,51,女,15,7,43,0,2.27,0,0,未购买
438,21,女,20,8,40.83,1,2.62,0,0,未购买
439,18,男,23,12,61.93,1,1.85,0,0,未购买
440,34,男,16,8,53.43,1,2.84,1,352.23,中
441,39,男,15,8,79.82,0,6.62,0,0,未购买
442,35,男,22,5,66.79,0,2.18,0,0,未购买
443,18,女,16,6,51.74,0,3.94,1,253.9,低
444,34,女,16,7,47.53,0,4.27,0,0,未购买
445,22,女,26,7,45.81,0,1.83,0,0,未购买
446,42,女,15,3,35.02,0,6.26,0,0,未购买
447,39,男,12,4,58.83,0,2.17,0,0,未购买
448,26,女,26,7,51.81,0,1.99,1,343.64,中
449,30,女,25,7,35.85,0,3.16,0,0,未购买
450,24,女,15,9,66.25,1,1.64,0,0,未购买
451,34,女,20,5,46.46,0,4.53,0,0,未购买
452,45,女,20,6,36.94,0,0.99,1,231.31,低
453,25,女,25,6,39.64,0,2.02,0,0,未购买
454,40,男,16,6,49.78,1,3.01,1,262.18,低
455,30,男,16,7,63.27,1,2.06,1,469.72,高
456,27,女,20,5,47.02,0,4.65,0,0,未购买
457,34,男,19,6,39.14,0,3.35,0,0,未购买
458,25,男,13,9,48.96,1,4.54,1,444.37,高
459,29,男,23,7,81.11,1,1.03,1,623.33,高
460,23,男,17,7,57.98,1,3.28,0,0,未购买
461,,女,15,4,19.18,0,4.51,0,0,未购买
462,35,女,12,12,27.43,0,2.19,0,0,未购买
463,28,男,16,6,53.41,1,2.47,0,0,未购买
464,37,男,18,6,70.76,1,1.6,1,318.08,中
465,34,男,15,6,48.87,1,4.42,1,269.77,低
466,33,男,11,10,45.72,0,1.84,1,499.43,高
467,41,女,19,5,75.54,1,3.1,0,0,未购买
468,43,女,19,5,38.01,0,7.19,0,0,未购买
469,30,男,18,11,43.49,1,1.11,1,476.43,高
470,29,男,15,9,41.36,1,1.7,1,348.9,中
471,32,女,27,10,34.1,0,1.32,0,0,未购买
472,18,男,16,5,35.19,0,1.27,0,0,未购买
473,20,女,12,7,49.1,0,1.72,1,310.52,中
474,49,女,24,5,52.51,1,1.75,1,241.21,低
475,51,女,14,6,45.63,0,2.24,1,256.78,低
476,33,男,19,10,40.36,1,1.14,1,437.09,中
477,41,女,15,7,28.1,0,4.03,0,0,未购买
478,38,男,14,4,55.4,1,2.98,0,0,未购买
479,65,男,26,9,27.55,0,2.37,1,262.5,低
480,46,女,25,10,48.87,0,2.18,1,514.18,高
481,34,男,6,4,25.84,0,2.44,1,122.18,低
482,25,女,22,5,41.11,0,2.99,0,0,未购买
483,19,男,8,8,36.43,0,5.08,1,299.81,中
484,37,女,24,6,54.65,0,4.59,0,0,未购买
485,27,女,13,4,41.36,1,1.9,0,0,未购买
486,21,男,25,7,46.12,1,3.45,1,304.19,中
487,29,男,31,12,35.46,1,1.62,1,409.76,中
488,24,男,13,10,71.32,1,1.46,0,0,未购买
489,52,男,13,8,52.48,0,5.26,0,0,未购买
490,44,男,13,4,77.28,0,4.73,0,0,未购买
491,35,女,11,4,46.24,1,2.06,0,0,未购买
492,50,男,16,4,56.64,1,3.04,0,0,未购买
493,36,女,19,3,70.99,0,2.11,0,0,未购买
494,26,男,17,5,18.9,0,4.36,0,0,未购买
495,50,女,18,7,67.21,0,3.42,1,445.23,高
496,40,男,16,4,72.42,0,2.9,0,0,未购买
497,25,男,25,9,64.77,1,2.53,1,524.91,高
498,33,女,18,8,53.94,0,4.78,0,0,未购买
